Dataset,Epochs,Attention Type,Optimizer,Window Size,GPU Memory Usage,Training Time,samples/sec,test_loss,Test Accuracy,path_to_train_results,path_to_val_results,Test Error,"Cost Function (0.25, 0.75)","Cost Function (0.5, 0.5)","Cost Function (0.75, 0.25)"
imdb,5,sliding + sparse,Adam,512,1.0,2690.6315,32.52,0.3712986707687378,0.9783772211517872,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_512\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_512\val_losses.csv,0.021622778848212842,0.26621708413615963,0.5108113894241064,0.7554056947120532
imdb,5,sliding + sparse,Adam,64,0.3121458923512749,1301.6814,67.221,0.37612760066986084,0.9663883536715905,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_64\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adam\att_win_size_64\val_losses.csv,0.03361164632840952,0.10324520783412586,0.1728787693398422,0.24251233084555854
imdb,5,sliding + sparse,AdamW,128,0.3921742209631728,1522.1375,57.485,0.38302716612815857,0.966816527510169,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_128\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_128\val_losses.csv,0.033183472489831,0.12293115960816645,0.2126788467265019,0.3024265338448373
imdb,5,sliding + sparse,AdamW,16,0.18962464589235128,1159.0345,75.494,0.3563355803489685,0.9982873046456859,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_16\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_16\val_losses.csv,0.0017126953543140644,0.04869068298882337,0.09566867062333267,0.14264665825784198
imdb,5,sliding + sparse,AdamW,256,0.5502832861189803,1954.367,44.772,0.3905216455459595,0.9751659173624492,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_256\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_256\val_losses.csv,0.024834082637550825,0.15619638350790818,0.28755868437826554,0.41892098524862287
imdb,5,sliding + sparse,AdamW,32,0.21972379603399428,1190.6374,73.49,0.3584041893482208,1.0,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_32\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_32\val_losses.csv,0.0,0.05493094900849857,0.10986189801699714,0.1647928470254957
imdb,5,sliding + sparse,AdamW,512,0.832330028328612,2559.0127,34.193,0.36773088574409485,0.9706700920573752,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_512\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_512\val_losses.csv,0.0293299079426248,0.2300799380391216,0.4308299681356184,0.6315799982321152
imdb,5,sliding + sparse,AdamW,64,0.3121458923512749,1309.7431,66.807,0.3657042384147644,0.9895097409548277,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_64\train_losses.csv,results\imdb-epochs_5\sliding + sparse\adamw\att_win_size_64\val_losses.csv,0.010490259045172312,0.08590416737169795,0.1613180756982236,0.23673198402474924
imdb,5,sliding + sparse,SGD,128,0.3181657223796034,1505.4488,58.122,0.5856439471244812,0.33633055020338265,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_128\train_losses.csv,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_128\val_losses.csv,0.6636694497966174,0.5772935179423638,0.49091758608811037,0.4045416542338569
imdb,5,sliding + sparse,SGD,16,0.13367563739376764,1135.5944,77.052,0.5901553630828857,0.3230571612074504,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_16\train_losses.csv,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_16\val_losses.csv,0.6769428387925496,0.5411260384428541,0.4053092380931586,0.2694924377434631
imdb,5,sliding + sparse,SGD,256,0.5120396600566574,1927.1282,45.404,0.5725592970848083,0.3735816741597091,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_256\train_losses.csv,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_256\val_losses.csv,0.6264183258402909,0.5978236593943825,0.5692289929484742,0.5406343265025657
imdb,5,sliding + sparse,SGD,32,0.15793201133144474,1179.9443,74.156,0.5777125954627991,0.3622350674373793,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_32\train_losses.csv,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_32\val_losses.csv,0.6377649325626207,0.5178067022548267,0.3978484719470327,0.2778902416392387
imdb,5,sliding + sparse,SGD,512,0.9146600566572239,2670.468,32.766,0.5829461812973022,0.3521729822307855,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_512\train_losses.csv,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_512\val_losses.csv,0.6478270177692145,0.7145352774912168,0.7812435372132192,0.8479517969352216
imdb,5,sliding + sparse,SGD,64,0.2211402266288952,1292.4864,67.699,0.5859326720237732,0.33483194176835784,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_64\train_losses.csv,results\imdb-epochs_5\sliding + sparse\sgd\att_win_size_64\val_losses.csv,0.6651680582316422,0.5541611003309554,0.4431541424302687,0.3321471845295819
